County,Proportion
baker,0.512179487
benton,0.323255814
clackamas,0.252773189
clatsop,0.288778878
columbia,0.322666667
coos,0.396551724
crook,0.342789598
curry,0.351230425
deschutes,0.339483395
douglas,0.403069467
gilliam,0.416666667
grant,0.380102041
harney,0.346391753
hood river,0.315107914
jackson,0.342813611
jefferson,0.386977887
josephine,0.397123202
klamath,0.412533641
lake,0.372277228
lane,0.341853745
lincoln,0.333333333
linn,0.324603175
malheur,0.508464682
marion,0.339094909
morrow,0.478165939
multnomah,0.282039038
polk,0.353982301
sherman,0.426695842
tillamook,0.345663265
umatilla,0.480464326
union,0.48540146
wallowa,0.399082569
wasco,0.486041518
washington,0.298746004
wheeler,0.339285714
yamhill,0.281506849
